product_code,product_name,category,supplier_name,warehouse_location,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,reorder_quantity,max_stock_level,stock_value_ghs,stock_status
PRD0065,Paper Clips Box,Stationery & Office,Epsilon Merchants,Zone C,650,62,588,41,340,1336,257634.0,OK
PRD0031,Plastic Chairs Set,Home & Furniture,Beta Trading Ltd.,Zone C,748,75,673,64,265,677,244222.0,OVERSTOCKED
PRD0017,Milo 500g,Food & Beverage,Delta Wholesale GH,Overflow,465,41,424,73,489,1069,221167.95,OK
PRD0022,Women Dresses Pack,Clothing & Apparel,Premium Goods GH,Cold Storage,262,98,164,77,185,1743,218502.76,OK
PRD0074,Tomato Seeds Pack,Agriculture,Mu Trading Ghana,Cold Storage,120,82,38,49,355,1542,216520.8,OK
PRD0058,Angle Grinder,Industrial Supplies,West Africa Distributors,Zone E,272,18,254,39,130,1129,211460.96,OK
PRD0019,Salt 25kg,Food & Beverage,Volta River Merchants,Overflow,358,28,330,38,499,582,204554.04,OK
PRD0018,Tea Bags Box,Food & Beverage,Kumasi Supplies Ltd.,Zone A,431,32,399,40,340,1604,203992.3,OK
PRD0056,Screws Assorted,Industrial Supplies,Accra Trading Co.,Cold Storage,464,9,455,59,235,1707,174060.32,OK
PRD0042,Amoxicillin Box,Health & Pharma,Capital City Goods,Zone E,196,27,169,91,241,1574,173971.56,OK
PRD0001,Smartphone,Electronics,Xi Supplies Accra,Overflow,712,66,646,89,125,1010,168822.32,OK
PRD0024,School Uniforms,Clothing & Apparel,West Africa Distributors,Zone E,319,73,246,78,303,655,163436.46,OK
PRD0023,Children Wear Pack,Clothing & Apparel,Eta Supplies Co.,Zone A,735,14,721,50,259,1685,157929.45,OK
PRD0050,ORS Sachets Box,Health & Pharma,Accra Trading Co.,Zone C,633,28,605,96,294,1406,152875.83,OK
PRD0013,Sugar 50kg,Food & Beverage,Capital City Goods,Cold Storage,279,55,224,92,114,1188,152001.99,OK
PRD0070,Stamps Pad Box,Stationery & Office,Delta Wholesale GH,Zone B,530,46,484,93,420,605,144175.9,OK
PRD0060,Safety Goggles Box,Industrial Supplies,Theta Trading House,Zone D,311,89,222,81,239,1605,125146.4,OK
PRD0016,Sardines Case,Food & Beverage,Alpha Supplies Accra,Zone B,472,23,449,36,233,1170,122526.48,OK
PRD0053,PVC Pipes Bundle,Industrial Supplies,Northern Suppliers Ghana,Zone B,83,20,63,60,188,653,113750.67,OK
PRD0021,Men Shirts Pack,Clothing & Apparel,Mu Trading Ghana,Cold Storage,129,60,69,44,388,1452,106551.42,OK
PRD0071,Fertilizer 50kg,Agriculture,Omicron Trading Co.,Zone D,273,70,203,46,247,1930,99527.61,OK
PRD0002,Laptop,Electronics,GhanaTech Imports,Zone E,124,58,66,47,337,1587,96948.16,OK
PRD0052,Iron Rods Bundle,Industrial Supplies,Tema Port Traders,Cold Storage,757,12,745,56,420,1041,77834.74,OK
PRD0072,Pesticide 5L,Agriculture,Accra Trading Co.,Zone E,124,3,121,60,463,1136,77087.08,OK
PRD0079,Watering Can,Agriculture,Inland Logistics Ghana,Zone E,152,57,95,98,347,1180,76469.68,OK
PRD0063,Notebooks Pack,Stationery & Office,Ashanti Wholesale,Zone D,783,86,697,64,395,858,74972.25,OK
PRD0076,Hand Sprayer,Agriculture,Lambda Distributors,Overflow,148,49,99,54,406,779,71785.92,OK
PRD0044,Face Masks Box,Health & Pharma,Theta Trading House,Zone A,309,1,308,98,164,593,69555.9,OK
PRD0032,Dining Table,Home & Furniture,Delta Wholesale GH,Zone D,461,31,430,89,391,1868,64862.7,OK
PRD0068,Correction Fluid Box,Stationery & Office,Zeta Importers Ghana,Overflow,90,40,50,62,265,1327,57739.5,OK
PRD0051,Cement Bags Pallet,Industrial Supplies,Delta Wholesale GH,Zone E,602,54,548,69,391,623,54986.68,OK
PRD0020,Bottled Water Case,Food & Beverage,Pi Merchants Ghana,Zone B,31,15,16,55,110,812,54780.72,REORDER NOW
PRD0015,Tomato Paste Case,Food & Beverage,Inland Logistics Ghana,Zone B,27,12,15,33,142,1377,53740.8,REORDER NOW
PRD0036,Mattress Double,Home & Furniture,Zeta Importers Ghana,Cold Storage,416,62,354,60,453,1822,41055.04,OK
PRD0077,Cutlass Dozen,Agriculture,Kumasi Supplies Ltd.,Overflow,71,35,36,83,274,1047,35840.09,REORDER NOW
PRD0049,Antiseptic 5L,Health & Pharma,Ashanti Wholesale,Zone E,87,31,56,45,385,1741,29573.91,OK
PRD0027,Work Boots Pair,Clothing & Apparel,Nu Wholesale Ltd.,Zone C,438,84,354,77,135,1826,21558.36,OK
PRD0062,Ballpoint Pens Box,Stationery & Office,Delta Wholesale GH,Zone A,26,2,24,59,445,1702,17567.68,REORDER NOW
PRD0055,Nails 5kg,Industrial Supplies,Pi Merchants Ghana,Overflow,33,14,19,66,461,1939,16128.42,REORDER NOW
PRD0073,Maize Seeds 10kg,Agriculture,Pacific Ghana Imports,Zone D,14,8,6,82,147,732,13169.52,REORDER NOW
PRD0028,Safety Vest,Clothing & Apparel,Beta Trading Ltd.,Cold Storage,12,6,6,92,154,1241,11677.08,REORDER NOW
PRD0046,BP Monitor,Health & Pharma,Iota Goods Limited,Zone C,12,9,3,66,340,1402,8386.8,REORDER NOW
PRD0054,Paint 20L,Industrial Supplies,Omicron Trading Co.,Zone C,2,1,1,87,452,1462,3503.86,REORDER NOW
PRD0078,Hoe Dozen,Agriculture,Omicron Trading Co.,Zone D,2,1,1,68,400,1851,2533.88,REORDER NOW
PRD0011,Rice 50kg,Food & Beverage,GhanaTech Imports,Zone E,6,2,4,68,485,1358,1137.54,REORDER NOW
